id_usuario,nome_completo,username,password,role,rg,cpf,id_curso,campus,validade,path_foto
25,Srta. Vitória Caldeira,srta.25,123,Aluno,273546107,984.675.102-85,1.0,Pinheiros,12/2028,fotos/25.jpg
26,Jade Duarte,jade26,123,Aluno,802137544,745.028.136-80,1.0,Pinheiros,12/2028,fotos/26.jpg
27,Agatha Ramos,agatha27,123,Aluno,53468712X,963.758.041-75,1.0,Marquês,12/2028,fotos/27.jpg
28,Enrico Mendes,enrico28,123,Aluno,204518374,256.703.841-80,1.0,Tatuapé,12/2028,fotos/28.jpg
29,Marcela Cirino,marcela29,123,Aluno,547612084,437.195.860-57,1.0,Berrini,12/2028,fotos/29.jpg
30,Dr. Vinicius Santos,dr.30,123,Aluno,625308141,608.957.142-30,1.0,Tatuapé,12/2027,fotos/30.jpg
31,Vinicius Vieira,vinicius31,123,Aluno,20356487X,782.941.036-40,1.0,Tatuapé,12/2029,fotos/31.jpg
32,Joana Nascimento,joana32,123,Aluno,534208769,758.320.946-38,1.0,Paulista,12/2027,fotos/32.jpg
33,Valentina Camargo,valentina33,123,Aluno,380245711,504.816.372-90,1.0,Berrini,12/2027,fotos/33.jpg
34,Esther Novais,esther34,123,Aluno,78350214X,291.847.356-19,1.0,Tatuapé,12/2028,fotos/34.jpg
35,Fernando Cassiano,fernando35,123,Aluno,728156404,071.952.463-61,1.0,Paulista,12/2028,fotos/35.jpg
36,José Miguel Costa,josé36,123,Aluno,215043686,054.197.328-23,1.0,Marquês,12/2026,fotos/36.jpg
37,Miguel Lima,miguel37,123,Aluno,031827548,128.035.769-02,1.0,Marquês,12/2027,fotos/37.jpg
38,Luan Alves,luan38,123,Aluno,018467520,714.265.938-64,1.0,Berrini,12/2029,fotos/38.jpg
39,Luana Câmara,luana39,123,Aluno,270654835,320.587.491-97,1.0,Pinheiros,12/2026,fotos/39.jpg
40,Manuela Andrade,manuela40,123,Aluno,521347087,862.419.503-98,1.0,Tatuapé,12/2026,fotos/40.jpg
41,Dra. Maysa Lopes,dra.41,123,Aluno,106874251,036.541.789-01,1.0,Paulista,12/2028,fotos/41.jpg
42,Bella Pires,bella42,123,Aluno,152348074,082.563.974-38,1.0,Berrini,12/2029,fotos/42.jpg
43,Ana Liz Cavalcanti,ana43,123,Aluno,06432851X,316.825.704-44,1.0,Marquês,12/2029,fotos/43.jpg
44,Isabela Novais,isabela44,123,Aluno,856032475,283.640.975-47,1.0,Pinheiros,12/2029,fotos/44.jpg
45,Leandro Aparecida,leandro45,123,Aluno,451367200,814.057.926-20,1.0,Berrini,12/2029,fotos/45.jpg
46,Lorenzo Fernandes,lorenzo46,123,Aluno,074863514,938.102.546-06,1.0,Paulista,12/2027,fotos/46.jpg
47,Lucca Rodrigues,lucca47,123,Aluno,481730266,629.317.508-59,1.0,Paulista,12/2029,fotos/47.jpg
48,Ana Nogueira,ana48,123,Aluno,627085416,379.258.641-09,1.0,Marquês,12/2028,fotos/48.jpg
49,Pedro Miguel Cavalcante,pedro49,123,Aluno,817406232,310.578.629-59,1.0,Marquês,12/2029,fotos/49.jpg
50,Bruno da Mata,bruno50,123,Aluno,521370486,425.869.307-38,1.0,Paulista,12/2029,fotos/50.jpg
51,Srta. Kamilly Câmara,srta.51,123,Aluno,768210458,078.513.964-84,1.0,Pinheiros,12/2028,fotos/51.jpg
52,Sra. Emanuelly Casa Grande,sra.52,123,Aluno,450273611,180.374.259-32,1.0,Pinheiros,12/2029,fotos/52.jpg
53,Yan Barbosa,yan53,123,Aluno,872315642,618.972.430-22,1.0,Berrini,12/2028,fotos/53.jpg
54,Júlia Marques,júlia54,123,Aluno,483567012,894.520.316-89,1.0,Tatuapé,12/2028,fotos/54.jpg
55,José Pedro Barros,josé55,123,Aluno,128376053,283.490.651-33,1.0,Tatuapé,12/2027,fotos/55.jpg
56,Gael da Rocha,gael56,123,Aluno,513084629,570.314.268-71,1.0,Paulista,12/2028,fotos/56.jpg
57,Larissa da Mata,larissa57,123,Aluno,024861534,046.812.395-42,1.0,Berrini,12/2027,fotos/57.jpg
58,Maria Vitória Lopes,maria58,123,Aluno,431258065,572.698.431-55,1.0,Paulista,12/2027,fotos/58.jpg
59,Srta. Bianca Silva,srta.59,123,Aluno,672135048,720.364.981-40,1.0,Berrini,12/2027,fotos/59.jpg
60,Apollo Moura,apollo60,123,Aluno,561240784,349.027.861-50,1.0,Tatuapé,12/2027,fotos/60.jpg
61,Henry Gabriel Fogaça,henry61,123,Aluno,208517467,192.847.503-50,1.0,Berrini,12/2029,fotos/61.jpg
62,Beatriz Casa Grande,beatriz62,123,Aluno,134875060,896.531.047-48,1.0,Paulista,12/2028,fotos/62.jpg
63,Thales Brito,thales63,123,Aluno,605138278,765.283.410-44,1.0,Marquês,12/2029,fotos/63.jpg
64,Yuri Correia,yuri64,123,Aluno,125367041,648.109.237-03,1.0,Pinheiros,12/2028,fotos/64.jpg
65,Alice Gonçalves,alice65,123,Aluno,527348612,574.308.296-00,1.0,Berrini,12/2026,fotos/65.jpg
66,Elisa Mendonça,elisa66,123,Aluno,645023188,831.769.452-64,1.0,Paulista,12/2027,fotos/66.jpg
67,Clara Lima,clara67,123,Aluno,312047587,835.214.679-37,1.0,Marquês,12/2029,fotos/67.jpg
68,Luísa Machado,luísa68,123,Aluno,473068527,650.237.148-53,1.0,Berrini,12/2028,fotos/68.jpg
69,Rafaela Nogueira,rafaela69,123,Aluno,72564803X,107.234.859-41,1.0,Pinheiros,12/2028,fotos/69.jpg
70,Davi Lucca Ribeiro,davi70,123,Aluno,701624589,723.896.410-40,1.0,Marquês,12/2026,fotos/70.jpg
71,Daniel Porto,daniel71,123,Aluno,278150640,085.261.479-94,1.0,Marquês,12/2029,fotos/71.jpg
72,Bella Pacheco,bella72,123,Aluno,462315800,674.932.085-65,1.0,Berrini,12/2029,fotos/72.jpg
73,Yago Montenegro,yago73,123,Aluno,034516281,726.314.950-80,1.0,Berrini,12/2028,fotos/73.jpg
74,Vitor Gabriel Fogaça,vitor74,123,Aluno,450672189,769.032.841-50,1.0,Paulista,12/2026,fotos/74.jpg
75,Gabriela Cardoso,gabriela75,123,Aluno,207634816,795.286.130-12,1.0,Paulista,12/2028,fotos/75.jpg
76,Heloisa Marques,heloisa76,123,Aluno,521486373,408.962.573-47,1.0,Pinheiros,12/2029,fotos/76.jpg
77,Apollo Fernandes,apollo77,123,Aluno,375108269,428.073.196-96,1.0,Marquês,12/2027,fotos/77.jpg
78,Sofia Pacheco,sofia78,123,Aluno,063278546,810.274.395-60,1.0,Pinheiros,12/2028,fotos/78.jpg
79,Kaique Melo,kaique79,123,Aluno,250763187,094.618.235-33,1.0,Paulista,12/2027,fotos/79.jpg
80,Maria Júlia das Neves,maria80,123,Aluno,741853206,724.638.590-83,1.0,Paulista,12/2027,fotos/80.jpg
81,Erick Nascimento,erick81,123,Aluno,653741807,907.683.412-13,1.0,Paulista,12/2028,fotos/81.jpg
82,João Lucas Fernandes,joão82,123,Aluno,374825609,387.209.465-38,1.0,Paulista,12/2028,fotos/82.jpg
83,Heloisa Cardoso,heloisa83,123,Aluno,150723647,523.801.749-97,1.0,Marquês,12/2026,fotos/83.jpg
84,Dr. Oliver Nascimento,dr.84,123,Aluno,512387047,532.961.874-64,1.0,Pinheiros,12/2027,fotos/84.jpg
85,Maitê Silveira,maitê85,123,Aluno,278506434,639.724.015-07,1.0,Marquês,12/2026,fotos/85.jpg
86,Josué Farias,josué86,123,Aluno,507836121,953.128.076-21,1.0,Berrini,12/2029,fotos/86.jpg
87,Davi Rodrigues,davi87,123,Aluno,34250678X,841.263.790-96,1.0,Berrini,12/2028,fotos/87.jpg
88,Breno Pires,breno88,123,Aluno,104753869,219.748.603-96,1.0,Pinheiros,12/2028,fotos/88.jpg
89,Bella Duarte,bella89,123,Aluno,601742539,872.946.135-91,1.0,Berrini,12/2027,fotos/89.jpg
90,Sr. João Miguel Sales,sr.90,123,Aluno,721865343,951.426.830-05,1.0,Tatuapé,12/2028,fotos/90.jpg
91,Cauê Costela,cauê91,123,Aluno,810754629,657.941.802-85,1.0,Pinheiros,12/2026,fotos/91.jpg
92,Noah Pastor,noah92,123,Aluno,673108259,265.091.738-59,1.0,Tatuapé,12/2029,fotos/92.jpg
93,Júlia Peixoto,júlia93,123,Aluno,830672151,613.789.524-64,1.0,Berrini,12/2026,fotos/93.jpg
94,Pietro Cunha,pietro94,123,Aluno,178354600,248.159.730-32,1.0,Tatuapé,12/2026,fotos/94.jpg
95,Aylla Ribeiro,aylla95,123,Aluno,765840315,029.761.348-04,1.0,Pinheiros,12/2028,fotos/95.jpg
96,Ester Ferreira,ester96,123,Aluno,083475217,840.356.917-39,1.0,Tatuapé,12/2026,fotos/96.jpg
97,Enrico Marques,enrico97,123,Aluno,784561205,239.180.657-40,1.0,Berrini,12/2027,fotos/97.jpg
98,Bruno Macedo,bruno98,123,Aluno,610748531,412.763.908-31,1.0,Pinheiros,12/2028,fotos/98.jpg
99,Allana Brito,allana99,123,Aluno,325068410,816.793.402-04,1.0,Paulista,12/2029,fotos/99.jpg
100,Arthur Miguel Nogueira,arthur100,123,Aluno,057162840,125.869.734-37,1.0,Pinheiros,12/2027,fotos/100.jpg
101,Emanuelly Fonseca,emanuelly101,123,Aluno,142578368,638.109.724-87,1.0,Pinheiros,12/2028,fotos/101.jpg
102,Levi Gomes,levi102,123,Aluno,382706146,498.267.053-65,1.0,Berrini,12/2026,fotos/102.jpg
103,Cauã Peixoto,cauã103,123,Aluno,126307453,869.705.423-00,1.0,Tatuapé,12/2028,fotos/103.jpg
104,Olívia da Mata,olívia104,123,Aluno,317025843,892.136.705-59,1.0,Marquês,12/2029,fotos/104.jpg
105,Maria Júlia Siqueira,maria105,123,Aluno,514602831,680.953.721-02,1.0,Berrini,12/2028,fotos/105.jpg
106,Fernando Machado,fernando106,123,Aluno,023684513,628.107.543-90,1.0,Tatuapé,12/2029,fotos/106.jpg
107,Eduarda Rodrigues,eduarda107,123,Aluno,072638412,170.984.623-22,1.0,Pinheiros,12/2026,fotos/107.jpg
108,Vitor Pires,vitor108,123,Aluno,782045613,349.562.108-33,1.0,Tatuapé,12/2028,fotos/108.jpg
109,Pedro Siqueira,pedro109,123,Aluno,365420785,630.524.179-16,1.0,Pinheiros,12/2026,fotos/109.jpg
110,Dra. Maysa Farias,dra.110,123,Aluno,607432184,013.978.654-66,1.0,Paulista,12/2028,fotos/110.jpg
111,Marcos Vinicius Sá,marcos111,123,Aluno,61254073X,536.170.298-68,1.0,Paulista,12/2028,fotos/111.jpg
112,Mathias Souza,mathias112,123,Aluno,405873128,324.071.856-17,1.0,Berrini,12/2026,fotos/112.jpg
113,Thiago Sá,thiago113,123,Aluno,861524731,487.519.603-20,1.0,Marquês,12/2029,fotos/113.jpg
114,Camila Vargas,camila114,123,Aluno,231508670,786.451.239-91,1.0,Tatuapé,12/2027,fotos/114.jpg
115,Alexandre Moura,alexandre115,123,Aluno,806752130,324.598.067-10,1.0,Pinheiros,12/2026,fotos/115.jpg
116,Oliver Moreira,oliver116,123,Aluno,170453261,697.412.583-64,1.0,Paulista,12/2027,fotos/116.jpg
117,Diego Camargo,diego117,123,Aluno,136847250,806.192.745-49,1.0,Marquês,12/2027,fotos/117.jpg
118,Pietra Azevedo,pietra118,123,Aluno,045817625,623.109.745-52,1.0,Tatuapé,12/2029,fotos/118.jpg
119,Thomas Lopes,thomas119,123,Aluno,768453124,612.570.389-40,1.0,Tatuapé,12/2026,fotos/119.jpg
120,Brayan Mendonça,brayan120,123,Aluno,218605742,351.289.064-42,1.0,Berrini,12/2028,fotos/120.jpg
121,Dr. Arthur Gabriel Fogaça,dr.121,123,Aluno,587413025,763.549.821-55,1.0,Pinheiros,12/2028,fotos/121.jpg
122,Vitor Gabriel da Luz,vitor122,123,Aluno,051284376,680.593.417-66,1.0,Tatuapé,12/2027,fotos/122.jpg
123,Dr. Marcos Vinicius Novais,dr.123,123,Aluno,103245686,548.192.763-28,1.0,Tatuapé,12/2027,fotos/123.jpg
124,Dr. José Pedro Jesus,dr.124,123,Aluno,782650132,314.287.906-40,1.0,Berrini,12/2026,fotos/124.jpg
125,Maysa Duarte,maysa125,123,Aluno,802456716,712.538.094-88,1.0,Berrini,12/2028,fotos/125.jpg
126,Mateus Nogueira,mateus126,123,Aluno,012867342,240.739.865-38,1.0,Tatuapé,12/2029,fotos/126.jpg
127,Bruna Moura,bruna127,123,Aluno,015376424,291.675.384-28,1.0,Paulista,12/2026,fotos/127.jpg
128,Sr. João Felipe Santos,sr.128,123,Aluno,20837615X,564.980.321-89,1.0,Tatuapé,12/2029,fotos/128.jpg
129,Sr. Enrico Azevedo,sr.129,123,Aluno,052673819,150.864.729-11,1.0,Tatuapé,12/2028,fotos/129.jpg
130,Davi Luiz Castro,davi130,123,Aluno,208574165,942.185.036-05,1.0,Berrini,12/2028,fotos/130.jpg
131,Caio Nascimento,caio131,123,Aluno,07231865X,307.158.964-66,1.0,Pinheiros,12/2028,fotos/131.jpg
132,João Felipe Dias,joão132,123,Aluno,270134657,415.806.972-67,1.0,Marquês,12/2026,fotos/132.jpg
133,Bianca Pastor,bianca133,123,Aluno,201543679,430.958.721-60,1.0,Berrini,12/2026,fotos/133.jpg
134,João Guilherme Lopes,joão134,123,Aluno,457602831,471.638.290-78,1.0,Tatuapé,12/2027,fotos/134.jpg
135,Srta. Maria Fernanda Dias,srta.135,123,Aluno,561870342,842.590.617-20,1.0,Marquês,12/2028,fotos/135.jpg
136,Otto Leão,otto136,123,Aluno,604531722,863.051.942-89,1.0,Berrini,12/2029,fotos/136.jpg
137,Pietra Cunha,pietra137,123,Aluno,684530715,017.269.435-34,1.0,Paulista,12/2027,fotos/137.jpg
138,Dr. Nathan Santos,dr.138,123,Aluno,175430263,507.863.241-71,1.0,Marquês,12/2027,fotos/138.jpg
139,Júlia Caldeira,júlia139,123,Aluno,374628506,346.258.019-15,1.0,Tatuapé,12/2028,fotos/139.jpg
140,Mateus Rios,mateus140,123,Aluno,35124086X,728.301.496-96,1.0,Tatuapé,12/2027,fotos/140.jpg
141,Kevin Nogueira,kevin141,123,Aluno,08654732X,475.961.032-43,1.0,Berrini,12/2026,fotos/141.jpg
142,Francisco Cavalcanti,francisco142,123,Aluno,348572104,279.518.306-40,1.0,Pinheiros,12/2028,fotos/142.jpg
143,Eloah Silveira,eloah143,123,Aluno,631025741,376.840.159-66,1.0,Marquês,12/2029,fotos/143.jpg
144,Vitor Gabriel Lopes,vitor144,123,Aluno,340162879,402.736.581-07,1.0,Pinheiros,12/2029,fotos/144.jpg
145,Manuela Duarte,manuela145,123,Aluno,163420877,421.509.736-34,1.0,Pinheiros,12/2028,fotos/145.jpg
146,Heloísa Lopes,heloísa146,123,Aluno,501367421,895.437.021-79,1.0,Paulista,12/2029,fotos/146.jpg
147,Ryan Correia,ryan147,123,Aluno,210346759,893.651.204-89,1.0,Pinheiros,12/2026,fotos/147.jpg
148,Otto Lima,otto148,123,Aluno,834756018,417.586.920-49,1.0,Paulista,12/2026,fotos/148.jpg
149,Jade Costa,jade149,123,Aluno,54130267X,493.278.150-41,1.0,Marquês,12/2027,fotos/149.jpg
150,Yuri Camargo,yuri150,123,Aluno,174680533,712.530.649-70,1.0,Paulista,12/2027,fotos/150.jpg
151,Augusto Costela,augusto151,123,Aluno,15043862X,175.028.469-30,1.0,Marquês,12/2029,fotos/151.jpg
152,Gabriel Silva,gabriel152,123,Aluno,382745012,938.506.712-59,1.0,Paulista,12/2026,fotos/152.jpg
153,Maria Vitória Câmara,maria153,123,Aluno,075312487,207.513.846-07,1.0,Tatuapé,12/2026,fotos/153.jpg
154,Mathias Alves,mathias154,123,Aluno,053741821,726.451.803-53,1.0,Pinheiros,12/2028,fotos/154.jpg
155,Dr. Leonardo Nunes,dr.155,123,Aluno,01576834X,069.521.348-24,1.0,Berrini,12/2029,fotos/155.jpg
156,José Pedro das Neves,josé156,123,Aluno,651382075,201.594.378-14,1.0,Berrini,12/2029,fotos/156.jpg
157,Bruna Carvalho,bruna157,123,Aluno,815704628,327.984.156-91,1.0,Tatuapé,12/2028,fotos/157.jpg
158,Diogo Aragão,diogo158,123,Aluno,450628735,589.321.760-86,1.0,Paulista,12/2029,fotos/158.jpg
159,João Felipe das Neves,joão159,123,Aluno,261740532,143.075.628-44,1.0,Pinheiros,12/2026,fotos/159.jpg
160,Gabriel Marques,gabriel160,123,Aluno,103574864,217.439.085-04,1.0,Marquês,12/2026,fotos/160.jpg
161,Maria Vitória Leão,maria161,123,Aluno,856471306,049.521.387-04,1.0,Paulista,12/2028,fotos/161.jpg
162,Sarah da Cunha,sarah162,123,Aluno,541830673,209.568.317-02,1.0,Tatuapé,12/2029,fotos/162.jpg
163,Julia Jesus,julia163,123,Aluno,734028155,679.350.241-70,1.0,Pinheiros,12/2029,fotos/163.jpg
164,Eduarda Sá,eduarda164,123,Aluno,521086371,209.518.364-98,1.0,Marquês,12/2026,fotos/164.jpg
165,Calebe Nunes,calebe165,123,Aluno,471860323,256.374.108-44,1.0,Pinheiros,12/2029,fotos/165.jpg
166,Maya Camargo,maya166,123,Aluno,281076352,604.159.387-75,1.0,Berrini,12/2028,fotos/166.jpg
167,Vitor Gabriel Montenegro,vitor167,123,Aluno,68720351X,041.593.826-06,1.0,Pinheiros,12/2027,fotos/167.jpg
168,Sr. Igor Pacheco,sr.168,123,Aluno,816240371,253.976.041-43,1.0,Tatuapé,12/2029,fotos/168.jpg
169,Ian Borges,ian169,123,Aluno,350821677,280.397.546-74,1.0,Marquês,12/2027,fotos/169.jpg
170,Emilly Cassiano,emilly170,123,Aluno,302817463,502.473.891-88,1.0,Marquês,12/2029,fotos/170.jpg
171,Evelyn Silva,evelyn171,123,Aluno,603812740,703.285.196-77,1.0,Pinheiros,12/2027,fotos/171.jpg
172,Carlos Eduardo Pastor,carlos172,123,Aluno,35268401X,751.490.832-32,1.0,Pinheiros,12/2029,fotos/172.jpg
173,Maria Flor da Cunha,maria173,123,Aluno,04125367X,503.674.912-06,1.0,Berrini,12/2026,fotos/173.jpg
174,Lorena Ramos,lorena174,123,Aluno,423705684,072.381.659-02,1.0,Berrini,12/2027,fotos/174.jpg
175,Lívia Novaes,lívia175,123,Aluno,621483709,059.483.612-33,1.0,Marquês,12/2028,fotos/175.jpg
176,Cecília Lopes,cecília176,123,Aluno,564102787,786.130.542-26,1.0,Tatuapé,12/2028,fotos/176.jpg
177,Mirella Cardoso,mirella177,123,Aluno,641520384,785.142.396-19,1.0,Pinheiros,12/2029,fotos/177.jpg
178,Leonardo Aragão,leonardo178,123,Aluno,012875466,270.465.198-11,1.0,Tatuapé,12/2028,fotos/178.jpg
179,Alana Rios,alana179,123,Aluno,728530144,471.685.023-44,1.0,Paulista,12/2028,fotos/179.jpg
180,Otávio Marques,otávio180,123,Aluno,462830172,762.985.310-68,1.0,Marquês,12/2027,fotos/180.jpg
181,Dr. Caleb Pereira,dr.181,123,Aluno,824516308,839.704.261-03,1.0,Tatuapé,12/2027,fotos/181.jpg
182,Pietro Pires,pietro182,123,Aluno,401567230,921.736.805-95,1.0,Tatuapé,12/2027,fotos/182.jpg
183,Maria Isis Lima,maria183,123,Aluno,302841763,915.782.643-91,1.0,Pinheiros,12/2029,fotos/183.jpg
184,Rafael Lima,rafael184,123,Aluno,567341082,534.962.807-00,1.0,Tatuapé,12/2028,fotos/184.jpg
185,Vitória Campos,vitória185,123,Aluno,816072450,081.725.946-58,1.0,Marquês,12/2026,fotos/185.jpg
186,Marcos Vinicius da Rosa,marcos186,123,Aluno,685410328,642.518.037-44,1.0,Tatuapé,12/2029,fotos/186.jpg
187,Maria Clara Silveira,maria187,123,Aluno,175203489,379.540.628-56,1.0,Berrini,12/2028,fotos/187.jpg
188,Lucas Borges,lucas188,123,Aluno,704823561,761.843.095-01,1.0,Tatuapé,12/2029,fotos/188.jpg
189,Dra. Maria Flor Novaes,dra.189,123,Aluno,438265014,541.260.897-30,1.0,Paulista,12/2029,fotos/189.jpg
190,Dr. Ravy Abreu,dr.190,123,Aluno,481563027,817.395.620-03,1.0,Berrini,12/2029,fotos/190.jpg
191,Sra. Luana Pacheco,sra.191,123,Aluno,158274635,805.629.174-11,1.0,Tatuapé,12/2028,fotos/191.jpg
192,Nina Araújo,nina192,123,Aluno,487530263,650.287.193-30,1.0,Paulista,12/2026,fotos/192.jpg
193,Dra. Sarah Melo,dra.193,123,Aluno,56072438X,791.452.308-97,1.0,Pinheiros,12/2026,fotos/193.jpg
194,Stephany Correia,stephany194,123,Aluno,50238461X,897.306.451-75,1.0,Berrini,12/2029,fotos/194.jpg
195,Miguel Ribeiro,miguel195,123,Aluno,412537084,742.058.139-88,1.0,Marquês,12/2028,fotos/195.jpg
196,Maria Cecília Araújo,maria196,123,Aluno,701435860,418.537.629-46,1.0,Berrini,12/2029,fotos/196.jpg
197,Mariana Albuquerque,mariana197,123,Aluno,028347651,825.964.371-55,1.0,Paulista,12/2028,fotos/197.jpg
198,Bryan da Paz,bryan198,123,Aluno,417068359,742.581.963-55,1.0,Tatuapé,12/2027,fotos/198.jpg
199,Lucas Gabriel Nascimento,lucas199,123,Aluno,683502475,201.483.795-32,1.0,Pinheiros,12/2026,fotos/199.jpg
200,José Fernandes,josé200,123,Aluno,052374865,206.748.139-87,1.0,Paulista,12/2026,fotos/200.jpg
201,Benicio Pires,benicio201,123,Aluno,873401621,974.315.082-04,1.0,Paulista,12/2028,fotos/201.jpg
202,Beatriz Nascimento,beatriz202,123,Aluno,038617547,095.483.761-48,1.0,Paulista,12/2027,fotos/202.jpg
203,Isabela Abreu,isabela203,123,Aluno,215384064,230.951.876-02,1.0,Marquês,12/2027,fotos/203.jpg
204,Dra. Isabelly Abreu,dra.204,123,Aluno,320145864,961.285.073-95,1.0,Paulista,12/2027,fotos/204.jpg
205,Daniela Guerra,daniela205,123,Aluno,342650877,734.018.295-05,1.0,Paulista,12/2027,fotos/205.jpg
206,Guilherme Viana,guilherme206,123,Aluno,853427616,609.538.417-66,1.0,Tatuapé,12/2027,fotos/206.jpg
207,Jade Silva,jade207,123,Aluno,320148567,501.247.693-06,1.0,Berrini,12/2027,fotos/207.jpg
208,Clarice Santos,clarice208,123,Aluno,240567833,089.156.274-58,1.0,Marquês,12/2029,fotos/208.jpg
209,Fernando Cunha,fernando209,123,Aluno,736148024,025.183.496-42,1.0,Berrini,12/2026,fotos/209.jpg
210,Milena Jesus,milena210,123,Aluno,436271084,682.430.519-70,1.0,Pinheiros,12/2026,fotos/210.jpg
211,Valentina das Neves,valentina211,123,Aluno,381702546,978.453.206-92,1.0,Paulista,12/2026,fotos/211.jpg
212,Benício Andrade,benício212,123,Aluno,31042785X,897.653.142-64,1.0,Marquês,12/2029,fotos/212.jpg
213,Dra. Ana Clara Vargas,dra.213,123,Aluno,531460873,879.623.410-50,1.0,Berrini,12/2028,fotos/213.jpg
214,Sra. Aurora Melo,sra.214,123,Aluno,652487038,650.329.471-99,1.0,Tatuapé,12/2027,fotos/214.jpg
215,Dom Ramos,dom215,123,Aluno,358120743,972.548.063-56,1.0,Tatuapé,12/2026,fotos/215.jpg
216,Dr. Nicolas da Cruz,dr.216,123,Aluno,41782306X,724.953.068-29,1.0,Paulista,12/2026,fotos/216.jpg
217,Sabrina Farias,sabrina217,123,Aluno,768231048,261.809.543-05,1.0,Tatuapé,12/2026,fotos/217.jpg
218,Ravy Carvalho,ravy218,123,Aluno,42015873X,905.482.167-11,1.0,Marquês,12/2026,fotos/218.jpg
219,Nina Melo,nina219,123,Aluno,820635716,953.860.714-75,1.0,Tatuapé,12/2027,fotos/219.jpg
220,Murilo das Neves,murilo220,123,Aluno,258647036,632.971.084-87,1.0,Berrini,12/2029,fotos/220.jpg
221,Anthony Duarte,anthony221,123,Aluno,703582616,792.604.153-06,1.0,Tatuapé,12/2027,fotos/221.jpg
222,Evelyn Siqueira,evelyn222,123,Aluno,324065814,271.843.906-87,1.0,Pinheiros,12/2029,fotos/222.jpg
223,Alícia Carvalho,alícia223,123,Aluno,307524814,983.716.245-73,1.0,Marquês,12/2028,fotos/223.jpg
224,Maysa Silveira,maysa224,123,Aluno,637240819,863.495.027-10,1.0,Marquês,12/2028,fotos/224.jpg
225,Ana Clara Almeida,ana225,123,Aluno,817324501,506.894.327-47,1.0,Tatuapé,12/2027,fotos/225.jpg
226,Maya Freitas,maya226,123,Aluno,732816506,247.086.351-17,1.0,Berrini,12/2026,fotos/226.jpg
227,Elisa Melo,elisa227,123,Aluno,487560322,271.964.053-07,1.0,Paulista,12/2028,fotos/227.jpg
228,Maria Andrade,maria228,123,Aluno,758132463,287.931.654-55,1.0,Berrini,12/2029,fotos/228.jpg
229,Diego Brito,diego229,123,Aluno,108475232,931.850.274-50,1.0,Pinheiros,12/2027,fotos/229.jpg
